Title,genre,director,publication date,publisher
Captain Ron,children's film,Thom Eberhardt,1992-01-01,
Captive,historical film,Gastón Birabén,2003-01-01,
Captivity,psychological thriller,Roland Joffé,2007-01-01,
Wrestling Ernest Hemingway,buddy film,Randa Haines,1993-12-17,
Caravaggio,,,,
Forbidden to Forbid,drama,Jorge Durán,2006-01-01,
Richard White,,,,
Under the Same Moon,drama,Patricia Riggen,2007-07-27,
Rosie Carver,,,,
Glenn Miller,,,,
Swallowtail,crime film,Shunji Iwai,1996-09-14,
Mrs. Darbus,,,,
Somewhere Slow,romantic comedy,Jeremy O'Keefe,2013-01-01,
Somos tão Jovens,musical film,Antonio Carlos da Fontoura,2013-01-01,
How to Succeed in Business Without Really Trying,,,,
Hip,,,,
Rich Texan,,,,
The Detainer,,,,
Totalmente Inocentes,comedy film,,2012-01-01,
Transcendence,science fiction film,Wally Pfister,2014-01-01,
Jedediah Leland,,,,
Jim W. Gettys,,,,
Tristan Thorn,,,,
Air Doll,science fiction film,Hirokazu Koreeda,2009-05-14,
VIPs,biographical film,,2010-01-01,
Vai que Dá Certo,comedy film,Maurício Farias,2013-01-01,
Valentin Zukovsky,,,,
Pierre Volto,,,,
Vijay,,,,
Christmas Crossfire,action film,Detlev Buck,2020-12-04,
Christmas Getaway,Christmas film,Mel Damski,2017-12-23,
We May Never Love Like This Again,,,,
Martial Arts of Shaolin,kung fu film,Lau Kar-leung,1986-01-01,
Sheriff J.W. Pepper,,,,
Kovář z Podlesí,animated film,Pavel Göbl,2013-05-16,
Freak City,,Lynne Littman,1999-01-16,
Three Comrades,novel,,,
Belzebuth,horror film,Emilio Portes,2017-10-14,
Girls Just Want to Have Fun,romantic comedy,Alan Metter,1985-01-01,
Christmas with the Darlings,,Catherine Cyran,2020-11-08,
Day of the Comet,science fiction film,,2014-04-28,
Carla's Song,political drama,Ken Loach,1996-09-20,
All or Nothing,comedy film,Mike Leigh,2002-01-01,
An Invisible Sign,film based on literature,Marilyn Agrelo,2010-10-07,
Debbie Macomber's Dashing Through the Snow,Christmas film,Kristoffer Tabori,2015-12-13,
Suddenly,comedy-drama,Diego Lerman,2002-01-01,
